date,site,team,div,t_score,opp,div,o_score
2015-10-07,home,Adams St.,D2,0.7,Fort Lewis,D2,2.5
2015-10-07,home,Alderson Broaddus,D2,0.8,Charleston (WV),D2,1.7
2015-10-07,home,Anderson (SC),D2,2.5,Newberry,D2,0.6
2015-10-07,home,Augustana (IL),D3,1.4,Simpson,D3,1.9
2015-10-07,home,Babson,D3,0.8,UMass Boston,D3,1.4
2015-10-07,home,Benedictine (IL),D3,1.5,Concordia Wisconsin,D3,1.3
2015-10-07,home,Bethany Lutheran,D3,1.0,Saint Mary's (MN),D3,3.2
2015-10-07,home,Bloomsburg,D2,1.8,American Int'l,D2,0.9
2015-10-07,home,Bluffton,D3,2.4,Anderson (IN),D3,2.5
2015-10-07,home,Brevard,D2,0.8,Tusculum,D2,1.4
2015-10-07,home,Bridgewater St.,D3,1.5,Roger Williams,D3,0.9
2015-10-07,home,California (PA),D2,1.8,Wheeling Jesuit,D2,1.3
2015-10-07,home,Cal St. L.A.,D2,2.2,Hawaii Hilo,D2,0.6
2015-10-07,home,Canisius,D1,1.4,Siena,D1,1.3
2015-10-07,home,Case,D3,2.1,Oberlin,D3,1.1
2015-10-07,home,Catawba,D2,2.3,Queens (NC),D2,1.2
2015-10-07,home,Catholic,D3,1.9,Goucher,D3,0.9
2015-10-07,home,Cazenovia,D3,1.8,Medaille,D3,2.4
2015-10-07,home,CCNY,D3,1.7,Hunter,D3,1.3
2015-10-07,home,Central Conn. St.,D1,1.7,NJIT,D1,1.0
2015-10-07,home,Clark (MA),D3,1.4,Mount Ida,D3,1.0
2015-10-07,home,Cleveland St.,D1,0.9,Northern Ky.,D1,1.2
2015-10-07,home,Coe,D3,2.0,Cornell College,D3,1.0
2015-10-07,home,Coker,D2,0.8,Wingate,D2,2.7
2015-10-07,home,Colby,D3,2.4,Husson,D3,1.9
2015-10-07,home,Colgate,D1,1.2,Boston U.,D1,1.1
2015-10-07,home,Col. of Charleston,D1,1.6,Delaware,D1,0.9
2015-10-07,home,Concordia Chicago,D3,1.5,Wis. Lutheran,D3,1.6
2015-10-07,home,Connecticut Col.,D3,1.2,Eastern Conn. St.,D3,1.3
2015-10-07,home,Davidson,D1,1.6,Fordham,D1,1.1
2015-10-07,home,Davis & Elkins,D2,0.7,Cedarville,D2,1.8
