year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2018	12621	3	4	Adrian	-	TEAM	-	-	-	""	""	0	""	1	97	""	1	""	3	""	""	0	""	1	1.000	""	""	""	""	""	""	""	""
2018	12621	3	4	Adrian	-	Totals	-	-	-	28	21	77	264	109	234	1	23	""	""	""	1775:54	29	1.470	77	0.726	5	""	""	""	1	88	2	""
2018	12621	3	4	Adrian	-	Opponent Totals	-	-	-	29	20	78	260	106	221	""	17	""	""	""	1775:54	28	1.419	81	0.743	5	""	""	""	""	88	""	""
2018	12621	3	2798	Albertus Magnus	-	TEAM	-	-	-	1	""	2	""	1	167	1	""	""	2	""	""	0	""	3	1.000	""	""	""	""	""	""	""	""
2018	12621	3	2798	Albertus Magnus	-	Totals	-	-	-	27	16	70	215	96	173	2	13	""	""	""	1677:53	47	2.521	123	0.724	2	""	""	2	""	64	""	""
2018	12621	3	2798	Albertus Magnus	-	Opponent Totals	-	-	-	47	42	136	354	170	197	1	18	""	""	""	1677:53	27	1.448	69	0.719	6	""	""	""	4	116	6	""
2018	12621	3	15	Albion	-	TEAM	-	-	-	1	1	3	""	1	166	""	4	""	4	""	""	0	""	4	1.000	""	""	""	""	""	""	""	1
2018	12621	3	15	Albion	-	Totals	-	-	-	18	11	47	240	105	225	2	25	""	""	""	1664:16	26	1.406	69	0.726	3	""	""	""	1	83	2	""
2018	12621	3	15	Albion	-	Opponent Totals	-	-	-	26	24	76	219	95	174	""	18	""	""	""	1709:16	18	0.948	85	0.825	5	""	""	2	2	74	2	""
2018	12621	3	16	Albright	-	TEAM	-	-	-	""	""	0	""	""	202	""	1	""	2	""	""	0	""	2	1.000	""	""	""	""	""	""	""	""
2018	12621	3	16	Albright	-	Totals	-	-	-	12	7	31	142	63	202	1	27	""	""	""	1675:32	42	2.256	120	0.741	2	""	""	""	""	52	1	""
2018	12621	3	16	Albright	-	Opponent Totals	-	-	-	42	31	115	314	162	182	1	20	""	""	""	1675:32	12	0.645	51	0.810	8	""	""	""	2	122	3	""
2018	12621	3	18	Alfred	-	TEAM	-	-	-	""	""	0	""	""	186	""	""	""	3	""	""	0	""	3	1.000	""	""	""	""	""	""	""	""
2018	12621	3	18	Alfred	-	Totals	-	-	-	17	8	42	188	73	186	1	26	""	""	""	1475:11	37	2.257	90	0.709	3	""	""	2	2	78	2	""
2018	12621	3	18	Alfred	-	Opponent Totals	-	-	-	37	22	96	266	127	200	1	24	""	""	""	1475:11	17	1.037	56	0.767	6	""	""	""	2	91	2	""
2018	12621	3	19	Allegheny	-	TEAM	-	-	-	2	""	4	1	2	157	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2
2018	12621	3	19	Allegheny	-	Totals	-	-	-	22	14	58	232	103	165	""	15	""	""	""	1565:40	32	1.839	69	0.683	2	""	""	""	""	86	""	""
2018	12621	3	19	Allegheny	-	Opponent Totals	-	-	-	32	25	89	242	101	193	""	11	""	""	""	1565:40	22	1.265	81	0.786	7	""	""	1	2	108	2	""
2018	12621	3	21	Alma	-	TEAM	-	-	-	""	""	0	""	""	129	""	""	""	1	""	""	0	""	3	1.000	""	""	""	""	""	""	""	""
2018	12621	3	21	Alma	-	Totals	-	-	-	9	3	21	210	70	147	""	15	""	""	""	1708:50	30	1.580	100	0.769	3	""	""	1	""	71	""	""
2018	12621	3	21	Alma	-	Opponent Totals	-	-	-	30	22	82	348	130	183	""	18	""	""	""	1708:50	9	0.474	61	0.871	11	""	""	1	1	111	2	""
2018	12621	3	938	Alvernia	-	TEAM	-	-	-	3	""	6	""	3	183	""	1	""	2	""	""	0	""	1	1.000	""	""	""	""	""	""	""	1
2018	12621	3	938	Alvernia	-	Totals	-	-	-	28	18	74	269	139	201	1	20	""	""	""	1896:08	21	0.997	90	0.811	9	""	""	""	1	105	1	""
2018	12621	3	938	Alvernia	-	Opponent Totals	-	-	-	21	12	54	225	111	198	""	9	""	""	""	1896:08	28	1.329	111	0.799	6	""	""	1	3	111	3	""
2018	12621	3	24	Amherst	-	TEAM	-	-	-	1	""	2	""	1	131	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1
2018	12621	3	24	Amherst	-	Totals	-	-	-	34	24	92	290	143	268	1	20	""	""	""	1511:32	15	0.893	75	0.833	6	""	""	1	3	121	3	""
2018	12621	3	24	Amherst	-	Opponent Totals	-	-	-	15	8	38	169	91	218	3	24	""	""	""	1512:13	34	2.024	104	0.754	2	""	""	5	""	55	1	""
2018	12621	3	939	Anderson (IN)	-	TEAM	-	-	-	2	""	4	""	2	56	""	""	""	5	""	""	0	""	2	1.000	""	""	""	""	""	""	""	""
2018	12621	3	939	Anderson (IN)	-	Totals	-	-	-	28	24	80	234	115	165	""	9	""	""	""	1737:49	40	2.072	127	0.760	4	""	""	""	1	111	2	""
2018	12621	3	939	Anderson (IN)	-	Opponent Totals	-	-	-	40	23	103	349	167	186	""	16	""	""	""	1737:49	28	1.450	87	0.757	5	""	""	""	3	121	3	""
2018	12621	3	26	Anna Maria	-	TEAM	-	-	-	""	""	0	""	""	141	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2018	12621	3	26	Anna Maria	-	Totals	-	-	-	18	7	43	152	74	166	""	15	""	""	""	1554:15	62	3.590	97	0.610	""	""	""	""	3	58	5	""
