year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2017	12440	3	4	Adrian	-	TEAM	-	-	-	""	""	0	""	144	""	2	""	1	""	""	0	""	1	1.000	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	-	Totals	-	-	-	33	22	88	266	237	""	18	""	""	""	1718:11	17	0.890	81	0.827	8	""	""	""	3	108	3	""
2017	12440	3	4	Adrian	-	Opponent Totals	-	-	-	17	9	43	227	214	2	26	""	""	""	1718:11	33	1.729	90	0.732	6	""	""	""	3	90	3	""
2017	12440	3	2798	Albertus Magnus	-	TEAM	-	-	-	""	""	0	""	227	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	2798	Albertus Magnus	-	Totals	-	-	-	26	19	71	249	227	""	15	""	""	""	1591:47	26	1.470	84	0.764	4	""	""	""	""	95	1	""
2017	12440	3	2798	Albertus Magnus	-	Opponent Totals	-	-	-	26	14	66	252	238	""	21	""	""	""	1591:47	26	1.470	91	0.778	5	""	""	2	""	81	""	""
2017	12440	3	15	Albion	-	TEAM	-	-	-	""	""	0	""	180	1	5	""	1	""	""	0	""	1	1.000	""	""	""	""	""	""	""	""
2017	12440	3	15	Albion	-	Totals	-	-	-	28	20	76	201	229	2	28	""	""	""	1726:10	35	1.825	72	0.673	6	""	""	1	1	79	1	""
2017	12440	3	15	Albion	-	Opponent Totals	-	-	-	35	23	93	229	213	1	24	""	""	""	1726:10	28	1.460	67	0.705	5	""	""	""	3	86	3	""
2017	12440	3	16	Albright	-	TEAM	-	-	-	""	""	0	""	168	""	""	""	5	""	""	0	""	5	1.000	""	""	""	""	""	""	""	""
2017	12440	3	16	Albright	-	Totals	-	-	-	12	9	33	138	168	3	13	""	""	""	1578:20	37	2.110	114	0.755	2	""	""	2	1	52	1	""
2017	12440	3	16	Albright	-	Opponent Totals	-	-	-	37	30	104	322	210	2	19	""	""	""	1578:20	13	0.741	42	0.764	7	""	""	""	1	105	2	""
2017	12440	3	18	Alfred	-	TEAM	-	-	-	""	""	0	""	264	1	2	""	4	""	""	0	""	3	1.000	""	""	""	""	""	""	""	""
2017	12440	3	18	Alfred	-	Totals	-	-	-	25	22	72	272	264	3	41	""	""	""	1700:37	25	1.323	71	0.740	5	""	""	2	""	130	1	""
2017	12440	3	18	Alfred	-	Opponent Totals	-	-	-	25	20	70	194	287	3	46	""	""	""	1700:37	25	1.323	79	0.760	6	""	""	""	2	70	2	""
2017	12440	3	30170	Alfred St.	-	TEAM	-	-	-	""	""	0	""	162	1	2	""	3	""	""	0	""	4	1.000	""	""	""	""	""	""	""	""
2017	12440	3	30170	Alfred St.	-	Totals	-	-	-	30	23	83	230	169	2	16	""	""	""	1530:00	49	2.882	95	0.660	""	""	""	""	2	82	2	""
2017	12440	3	30170	Alfred St.	-	Opponent Totals	-	-	-	49	34	132	247	165	1	9	""	""	""	1530:00	30	1.765	97	0.764	4	""	""	1	3	83	4	""
2017	12440	3	19	Allegheny	-	TEAM	-	-	-	1	""	2	""	206	""	1	""	6	""	""	0	""	8	1.000	""	""	""	""	""	""	""	""
2017	12440	3	19	Allegheny	-	Totals	-	-	-	25	18	68	220	206	4	20	""	""	""	1662:06	36	1.949	82	0.695	2	""	""	2	1	90	1	""
2017	12440	3	19	Allegheny	-	Opponent Totals	-	-	-	36	26	98	301	172	""	11	""	""	""	1662:06	25	1.354	71	0.740	7	""	""	2	""	116	1	""
2017	12440	3	21	Alma	-	TEAM	-	-	-	1	""	2	""	159	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1
